seq,pitch,roll,yaw,xVelocity,yVelocity,zVelocity,altitude
59031,17.047,18.539,9.757,0,0,0,0
59032,17.112,18.584,9.717,0,0,0,0
59033,17.153,18.573,9.627,0,0,0,0
59034,17.182,18.557,9.578,0,0,0,0
59035,17.191,18.555,9.587,0,0,0,0
59036,17.185,18.546,9.608,0,0,0,0
59037,17.197,18.532,9.63,0,0,0,0
59038,17.223,18.52,9.634,0,0,0,0
59039,17.301,18.572,9.647,0,0,0,0
59040,17.357,18.604,9.648,0,0,0,0
59041,17.387,18.662,9.671,0,0,0,0
59042,17.399,18.685,9.677,0,0,0,0
59043,17.404,18.69,9.67,0,0,0,0
59044,17.409,18.681,9.661,0,0,0,0
59045,17.399,18.681,9.666,0,0,0,0
59046,17.406,18.674,9.685,0,0,0,0
59047,17.412,18.663,9.686,0,0,0,0
59048,17.412,18.657,9.683,0,0,0,0
59049,17.403,18.654,9.693,0,0,0,0
59050,17.386,18.653,9.714,0,0,0,0
59051,17.369,18.658,9.746,0,0,0,0
59052,17.366,18.658,9.774,0,0,0,0
59053,17.357,18.645,9.788,0,0,0,0
59054,17.352,18.64,9.793,0,0,0,0
59056,17.35,18.646,9.788,0,0,0,0
59057,17.366,18.653,9.784,0,0,0,0
59058,17.378,18.648,9.777,0,0,0,0
59059,17.38,18.642,9.782,0,0,0,0
59060,17.374,18.625,9.785,0,0,0,0
59061,17.365,18.621,9.805,0,0,0,0
59062,17.372,18.627,9.819,0,0,0,0
59063,17.377,18.624,9.822,0,0,0,0
59064,17.369,18.625,9.828,0,0,0,0
59065,17.36,18.622,9.846,0,0,0,0
59066,17.361,18.629,9.861,0,0,0,0
59067,17.355,18.629,9.869,0,0,0,0
59068,17.355,18.622,9.881,0,0,0,0
59069,17.353,18.628,9.898,0,0,0,0
59070,17.359,18.637,9.911,0,0,0,0
59071,17.355,18.647,9.921,0,0,0,0
59072,17.346,18.651,9.934,0,0,0,0
59073,17.342,18.654,9.949,0,0,0,0
59074,17.338,18.656,9.965,0,0,0,0
59075,17.341,18.655,9.983,0,0,0,0
59076,17.348,18.646,9.991,0,0,0,0
59077,17.345,18.647,9.994,0,0,0,0
59078,17.335,18.644,10.002,0,0,0,0
59079,17.322,18.645,10.016,0,0,0,0
59080,17.318,18.631,10.027,0,0,0,0
59081,17.323,18.627,10.036,0,0,0,0
59082,17.318,18.619,10.039,0,0,0,0
59083,17.324,18.622,10.048,0,0,0,0
59084,17.322,18.62,10.059,0,0,0,0
59085,17.313,18.611,10.074,0,0,0,0
59086,17.317,18.606,10.092,0,0,0,0
59087,17.315,18.6,10.096,0,0,0,0
59088,17.314,18.595,10.102,0,0,0,0
59089,17.307,18.587,10.12,0,0,0,0
59090,17.302,18.573,10.136,0,0,0,0
59091,17.3,18.564,10.151,0,0,0,0
